job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
"https://www.glassdoor.com.au/job-listing/lead-software-engineer-distributed-systems-jobs-for-humanity-JV_IC2235932_KO0,42_KE43,60.htm?jl=1008985227370",glassdoor,Lead Software Engineer - Distributed Systems,Jobs for Humanity,,Sydney,,2023-11-18,yearly,260000,300000,AUD,False,,,,
"https://www.glassdoor.com.au/job-listing/information-security-engineer-equinix-JV_IC2228254_KO0,29_KE30,37.htm?jl=1008766345526",glassdoor,Information Security Engineer,Equinix,,Mascot,,2023-07-20,,,,,False,,,,
https://au.indeed.com/viewjob?jk=707ea658f4fa392d,indeed,System Engineer,KBR,https://au.indeed.com/cmp/KBR-066162f8,"Sydney, NSW, Australia",fulltime,2023-12-26,,,,,False,0,,,"Title: EOI - Systems Engineers The Company Kellogg Brown and Root (KBR) is a leading Defence and Government professional services provider. KBR Australia has been engaged in working with Defence and Defence Industry for over 20 years and has core competencies in program and project management, engineering, asset management, integrated logistics support, procurement and training solutions, and provides in-depth expertise to a wide range of projects within the Defence sector. The Role This role will see you develop technical investigations and technical instructions relating to platform systems, including the verification and validation of technical data. You will also develop design requirements and act as design acceptance representative, participate in engineering design reviews and the development of engineering support reports. Assisting with preparation or review of work instructions and maintenance schedules may also be required. Additionally this role will provide guidance, mentoring and assistance to more junior team members as required. Required Qualifications, Experience and Knowledge Degree qualified, Chartered Professional Engineer, Mechatronics or Mechanical or similar Demonstrated ability to develop and execute Systems Engineering Management Plans Hands-on experience in configuration management practice Working knowledge of ASDEFCON Contracting framework (above and/or below the line) Experience in risk management Experience in Verification and Validation (V&V) planning and test execution desirable Australian Citizen with a current AGSVA clearance or the ability to obtain one Benefits of KBR KBR is committed to supporting the professional development of staff at every stage of their career through in-house training, performance rewards and structured career paths. We offer a competitive package of lifestyle benefits that include family-friendly work hours. KBR is a quality assured equal opportunity employer."
https://au.indeed.com/viewjob?jk=8ba2fb02253849d0,indeed,Software Engineer,D Tech Engineering Pty Ltd,,"Silverwater, NSW, Australia",contract,2023-12-26,yearly,55000,75000,AUD,True,0,,,"Our Team is looking for a Engineer to join us. We would also love to hear from you if you have a great attention the details and keen to find solutions through analysis. Our company services the Building Industry Sector. This role best fits someone who genuinely enjoy working but at the same time deliver results under minimal supervision. As a customer orientated company, having a great personality will be a plus. Responsibilities include : Assisting Senior Engineers maintain and upgrade of Data Analysis Hardware and Software. Manage Data – Retrieve, verify and analyst Data Will need to visit sites in predominately Sydney Metropolitan Provide Engineering support – Analyst and Documentation Coordinate within team and clients Requirements: Major in Mechanical, Electrical, Computer and Sustainability Engineering Diploma is Software Development is welcome Great attention to details is essential Ability to creatively explain and present complex concepts in an easy to understand manner Solid technical background with understanding Excellent written and verbal communication skills Able to to instruction and work independently Job Types: As in the description Job Types: Temp to perm, Contract Contract length: 6 months Salary: $55,000.00 – $75,000.00 per year Benefits: Employee mentoring program Professional development assistance Schedule: Monday to Friday Supplemental pay types: Performance bonus Retention bonus Application Question(s): Please provide any R&D related experience Please share with us any Data analysis experience. Licence/Certification: Driver Licence (Preferred) Work Authorisation: Australia (Required) Work Location: Hybrid remote in Silverwater, NSW 2128"
